freq,total,errors,ber
0,1280,342,0.2671875059604645
1,1280,297,0.23203125596046448
2,1280,268,0.20937499403953552
3,1280,258,0.20156249403953552
4,1280,241,0.18828125298023224
5,1280,218,0.17031249403953552
6,1280,216,0.16875000298023224
7,1280,196,0.15312500298023224
8,1280,224,0.17499999701976776
9,1280,207,0.16171875596046448
10,1280,184,0.14374999701976776
11,1280,190,0.1484375
12,1280,195,0.15234375
13,1280,194,0.15156249701976776
14,1280,197,0.15390625596046448
15,1280,289,0.22578124701976776
